ADDRESS,VOLUME,FIRST_NUMBER,LAST_NUMBER,PROB
0x00000000000000000000000000000000000000,4,0,16056,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,0,16057,32112,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,32113,48167,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,48168,64222,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,64223,80277,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1,80278,96332,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,3121,96333,113593,0.16055 + 0.01206 %
0x00000000000000000000000000000000000000,15,113594,129654,0.16055 + 0.00006 %
0x00000000000000000000000000000000000000,0,129655,145709,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,423,145710,161928,0.16055 + 0.00164 %
0x00000000000000000000000000000000000000,3007,161929,179145,0.16055 + 0.01162 %
0x00000000000000000000000000000000000000,12,179146,195205,0.16055 + 0.00005 %
0x00000000000000000000000000000000000000,0,195206,211260,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,17,211261,227322,0.16055 + 0.00007 %
0x00000000000000000000000000000000000000,0,227323,243377,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,243378,259432,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1631,259433,276117,0.16055 + 0.00630 %
0x00000000000000000000000000000000000000,28693,276118,303263,0.16055 + 0.11091 %
0x00000000000000000000000000000000000000,5,303264,319320,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,392076,319321,486922,0.16055 + 1.51547 %
0x00000000000000000000000000000000000000,4922,486923,504880,0.16055 + 0.01902 %
0x00000000000000000000000000000000000000,20372,504881,528809,0.16055 + 0.07874 %
0x00000000000000000000000000000000000000,4937,528810,546772,0.16055 + 0.01908 %
0x00000000000000000000000000000000000000,45918,546773,580576,0.16055 + 0.17748 %
0x00000000000000000000000000000000000000,3,580577,596632,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,6,596633,612689,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,1571,612690,629351,0.16055 + 0.00607 %
0x00000000000000000000000000000000000000,780,629352,645708,0.16055 + 0.00301 %
0x00000000000000000000000000000000000000,186672,645709,733917,0.16055 + 0.72153 %
0x00000000000000000000000000000000000000,6,733918,749974,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,0,749975,766029,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1,766030,782084,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,782085,798139,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,5,798140,814196,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,6,814197,830253,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,0,830254,846308,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,12,846309,862368,0.16055 + 0.00005 %
0x00000000000000000000000000000000000000,0,862369,878423,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,88,878424,894512,0.16055 + 0.00034 %
0x00000000000000000000000000000000000000,3008,894513,911730,0.16055 + 0.01163 %
0x00000000000000000000000000000000000000,1,911731,927785,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,102,927786,943879,0.16055 + 0.00039 %
0x00000000000000000000000000000000000000,5,943880,959936,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,685,959937,976256,0.16055 + 0.00265 %
0x00000000000000000000000000000000000000,0,976257,992311,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,26,992312,1008376,0.16055 + 0.00010 %
0x00000000000000000000000000000000000000,317,1008377,1024554,0.16055 + 0.00123 %
0x00000000000000000000000000000000000000,3,1024555,1040610,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,7709,1040611,1059645,0.16055 + 0.02980 %
0x00000000000000000000000000000000000000,0,1059646,1075700,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,28,1075701,1091766,0.16055 + 0.00011 %
0x00000000000000000000000000000000000000,2777,1091767,1108894,0.16055 + 0.01073 %
0x00000000000000000000000000000000000000,15,1108895,1124955,0.16055 + 0.00006 %
0x00000000000000000000000000000000000000,0,1124956,1141010,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,9,1141011,1157069,0.16055 + 0.00003 %
0x00000000000000000000000000000000000000,1419,1157070,1173673,0.16055 + 0.00548 %
0x00000000000000000000000000000000000000,2383,1173674,1190649,0.16055 + 0.00921 %
0x00000000000000000000000000000000000000,0,1190650,1206704,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,1,1206705,1222759,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,1222760,1238814,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,23,1238815,1254878,0.16055 + 0.00009 %
0x00000000000000000000000000000000000000,0,1254879,1270933,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,1270934,1286988,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,2,1286989,1303044,0.16055 + 0.00001 %
0x00000000000000000000000000000000000000,672,1303045,1319359,0.16055 + 0.00260 %
0x00000000000000000000000000000000000000,41,1319360,1335430,0.16055 + 0.00016 %
0x00000000000000000000000000000000000000,56,1335431,1351507,0.16055 + 0.00022 %
0x00000000000000000000000000000000000000,25,1351508,1367572,0.16055 + 0.00010 %
0x00000000000000000000000000000000000000,541,1367573,1383836,0.16055 + 0.00209 %
0x00000000000000000000000000000000000000,0,1383837,1399891,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,34151,1399892,1429146,0.16055 + 0.13200 %
0x00000000000000000000000000000000000000,0,1429147,1445201,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,1445202,1461256,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,579,1461257,1477535,0.16055 + 0.00224 %
0x00000000000000000000000000000000000000,290,1477536,1493702,0.16055 + 0.00112 %
0x00000000000000000000000000000000000000,576,1493703,1509980,0.16055 + 0.00223 %
0x00000000000000000000000000000000000000,0,1509981,1526035,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,9237,1526036,1545660,0.16055 + 0.03570 %
0x00000000000000000000000000000000000000,1082,1545661,1562133,0.16055 + 0.00418 %
0x00000000000000000000000000000000000000,0,1562134,1578188,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,73,1578189,1594271,0.16055 + 0.00028 %
0x00000000000000000000000000000000000000,12392,1594272,1615116,0.16055 + 0.04790 %
0x00000000000000000000000000000000000000,5,1615117,1631173,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,0,1631174,1647228,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,1647229,1663283,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,4937,1663284,1681246,0.16055 + 0.01908 %
0x00000000000000000000000000000000000000,0,1681247,1697301,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,0,1697302,1713356,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,7,1713357,1729414,0.16055 + 0.00003 %
0x00000000000000000000000000000000000000,18,1729415,1745476,0.16055 + 0.00007 %
0x00000000000000000000000000000000000000,1198,1745477,1761994,0.16055 + 0.00463 %
0x00000000000000000000000000000000000000,3238,1761995,1779301,0.16055 + 0.01252 %
0x00000000000000000000000000000000000000,1846,1779302,1796070,0.16055 + 0.00714 %
0x00000000000000000000000000000000000000,4937,1796071,1814033,0.16055 + 0.01908 %
0x00000000000000000000000000000000000000,87,1814034,1830122,0.16055 + 0.00034 %
0x00000000000000000000000000000000000000,2472,1830123,1847133,0.16055 + 0.00955 %
0x00000000000000000000000000000000000000,0,1847134,1863188,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,277632,1863189,1986555,0.16055 + 1.07312 %
0x00000000000000000000000000000000000000,6,1986556,2002612,0.16055 + 0.00002 %
0x00000000000000000000000000000000000000,0,2002613,2018667,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,118,2018668,2034768,0.16055 + 0.00046 %
0x00000000000000000000000000000000000000,88,2034769,2050857,0.16055 + 0.00034 %
0x00000000000000000000000000000000000000,0,2050858,2066912,0.16055 + 0.00000 %
0x00000000000000000000000000000000000000,94,2066913,2083003,0.16055 + 0.00036 %
0x00000000000000000000000000000000000000,0,2083004,2099058,0.16055 + 0.00000 %
